,C3_SW_C1_SW_C1_WS_C3_WS,C3_SO_C1_SO_C1_OS_C3_OS,C3_WN_C1_WN_C1_NW_C3_NW,C3_NO_C1_NO_C1_ON_C3_ON
3CCX,-6.084783037699974,17.627942495328067,0.5290365081598052,-14.649176550511044
6U97,6.300806298811976,-9.201799561378417,-5.12486619197933,14.284084789725904
1CCE,-5.605906505559222,24.73925054459463,7.418426937231083,-24.883775618649256
1DRM,-8.980793031225119,16.548710510010793,-1.3217116824536481,-1.252134085443875
1H29,-4.915192138394092,7.414611981592322,-3.1408233842743227,-1.9185430222493254
1F1F,7.303161968744701,2.868246046253551,11.580547895638626,-19.137832550600642
1H9X,-4.883399065128077,4.164192153956294,-1.2548788865116898,2.063432646141802
2OYY,-6.402416810012965,7.470509962803749,16.463713631446936,-16.825288663690927
451C,5.466209921471549,-3.0909162745209047,-8.600873631942186,7.781706910911147
1A6K,14.519886504738873,-1.2926670093411643,-7.636985750870148,-10.146470656224297
1CYO,9.610808917509761,-16.212061034448595,0.05869853061759775,14.163252657485097
1AW3,5.321410043761482,-5.788816376147627,-10.64529521751183,3.516477953323097
1LS9,-5.178008674673816,12.900651088817057,17.15429563498152,-0.23520010698133667
1JP9,0.7558356683526338,-0.19939947579432554,1.3568570115559595,-1.4318510995250033
1B5A,2.802854698055281,0.32970117551099776,0.660042463295407,-1.643912179762745
1CCC,-8.061758842569112,24.51267719798778,8.360383162603844,-28.276803578538612
1A6M,3.235082666379205,-5.091190685635953,5.978555478177784,-7.854050270431359
1CXC,-0.9397882424312701,-2.4297473441715107,9.746195351443953,-1.3189057473757368
1CCK,16.761481210422215,2.098468777037645,-18.62366473788979,0.7113139338896552
1CTJ,-4.498742115567309,2.1127543422156143,8.096088056969366,1.4802990265560698
1JBQ,-1.307860655690061,2.5652312363713374,-0.1352749742921815,-1.6088676405911992
1MOH,3.7105663904668127,-0.21828514777059935,-21.390335705093197,-21.46126381212336
1GU2,7.646437359031102,-7.368616841626598,-11.096635508998167,16.99943566033987
1JP6,1.5664109714263519,-0.30365528459915475,0.41847575861416875,-0.8579356173480486
1GIW,-6.4996958526199515,-3.258080788157718,11.75585625169316,-3.741273535196453
4MU8,7.00710962068488,-1.0751151519863973,4.213817841581535,-8.907343267627619
1FJ0,3.3139401799299133,-10.458355874005976,0.4922797208455424,9.259036236893214
1A6G,7.47146839146541,-1.0225429313816021,-2.678882538300132,-9.072572273710657
2HPD,12.05160226653357,9.160855608962,10.203577647708912,-6.79508212908859
1EUE,-6.262887260211234,6.267982755898178,3.220958741817855,-0.03629349600766329
1JDL,-6.711177212250357,8.690236179615269,-2.2431695359072212,-2.343728465845675
1CMT,-16.8736632255313,21.65750698601749,10.274732414086069,-12.797701349741502
1EBT,-2.9306307602257404,-1.257571190893742,-0.05528331837176932,0.19886717444724994
1CCG,-6.400055292523067,16.87063122602758,8.348551087026216,-15.900481689795022
2GSM,-15.193014227269545,5.898829936432821,8.685093388359537,-1.1168426606408084
1VB6,-1.478412110358053,1.631174692556749,1.4498089620976014,-3.0418244647492907
1DJ1,-22.58107773459469,16.33433236508761,1.3621324710027962,9.795286330633326
1V9Z,-0.9752110231634867,0.4705568380376695,1.5644313959176948,-1.3429273902417802
1ES1,-2.213716993376359,-7.884051665793965,12.262674560485664,14.270593425425556
1C75,5.460049296016467,-5.291386435387795,6.87208578706704,-5.415933621533644
1FHF,-16.970468791309532,-11.690408348733916,23.55441042663378,-13.276461276385167
1CMQ,-12.574412307608364,30.71014618895547,0.011889007950852475,-14.676870822713395
