,C1_SW_N_S_N_N_C1_NW,C1_SO_N_S_N_N_C1_NO,C1_WS_NW_NO_C1_OS,C1_WN_NW_NO_C1_ON
3CCX,-8.322564182930947,-0.8854680835763632,-12.13149160259273,5.025763213104146
6U97,4.624457775898294,6.3835006999487,8.550657646173757,7.742671708162564
1CCE,-8.632571716930823,-4.517577210049342,-24.606578427152467,9.45781758691115
1DRM,-4.130715610454389,-8.466717650236381,-179.7403824767543,-178.92253261500085
1H29,-1.8598427182090067,6.902378831367178,0.9423305704367738,3.1250787887631826
1F1F,20.408575785908774,8.121718467080168,-179.99322405319106,178.5273051410993
1H9X,6.7212319510101945,7.582279740731994,8.647256206098067,6.623747471218445
2OYY,12.515085180217186,3.2057777076466625,6.903162133636579,8.565926342330515
451C,10.792403896589827,9.80948996883057,8.170119470334647,11.877395976641631
1A6K,15.892665266315577,-11.890913012802047,-178.2778490252716,179.20513842150763
1CYO,-7.169868568184015,-9.26427253733903,-2.0763677286225164,-10.138061760320477
1AW3,-7.327910821429367,-2.1609161425101404,-3.6002270111600407,-3.5582144157455273
1LS9,10.174707738584582,4.550161408504387,179.28471697906886,179.75886874999068
1JP9,0.5939719767425455,-0.17296242311559168,179.41346278697128,179.51389559276916
1B5A,-2.1709935901214785,2.0745075554683683,-0.29095137044776354,1.5823035148462572
1CCC,-6.27129104206143,-11.153491681240359,-21.741686303691715,4.673525927990071
1A6M,9.467277425668156,-5.572673790972625,-179.86904743232284,179.58605184983767
1CXC,8.729117820160633,5.215860926448481,177.50174349560834,177.7564847561642
1CCK,-1.7097737955478463,-5.009966609944021,179.52017858825232,177.66666433451783
1CTJ,15.501774135812873,5.853904760286455,-176.58297814558827,-176.3436889139922
1JBQ,1.3234277559267693,2.2086783673865225,1.3114006409069268,2.151798164200943
1MOH,16.42967130798512,2.3501766560739004,174.84661105525544,175.5979948567515
1GU2,7.601053546287225,12.758571853347982,14.580709354906734,11.13991029619788
1JP6,0.4239014116686619,-0.14226757583790803,179.4091643272617,179.52016215594597
1GIW,3.993386348380432,5.646093633769742,178.52973413977048,179.506136547404
4MU8,12.352521796306466,21.785682163710856,17.489821768225408,19.506352087239772
1FJ0,16.394714723060194,4.842331504334993,177.24973818766838,176.980645780814
1A6G,11.105041357202154,-8.13758280102154,-179.5798035513205,179.83281822693644
2HPD,3.2940409828196007,-1.7310721608325188,4.036508016647129,8.726596027073402
1EUE,-3.4131969979099845,-0.8211038952786144,-178.7530703927702,-178.13068183215108
1JDL,3.1087555108430767,9.387114924064873,15.165284085592392,9.139577062967016
1CMT,-18.94765510589018,1.4168367953487488,-6.305416659997444,-10.984077812090767
1EBT,15.770743291590636,2.703437266184095,174.3922700983486,175.70404184762964
1CCG,-4.970231164892437,-4.183825002754175,-11.510652038034541,3.515370550058313
2GSM,-6.891221777468451,4.282715238527371,3.91465905449681,-6.697767481969368
1VB6,-0.18036684790906157,-0.6178553956805275,-179.1659746686895,-179.2610934909013
1DJ1,-1.478099172759126,0.9801723120729067,2.594715055683444,-1.3000421760280783
1V9Z,-0.2674760214915915,-0.5442338508954757,179.79085570290786,179.7990527717068
1ES1,-7.5122045277615594,-7.130936767748133,-0.8195618344173096,-8.46082135974656
1C75,11.705291144599864,3.422768618487028,179.5702022909242,178.4074426230449
1FHF,4.4079139287957165,-1.8116666272607793,3.4870893222106116,-4.27599268322632
1CMQ,-20.135705986025627,4.88157574159557,-23.251650448546435,6.1704297413
